price_m2,price,m2,location
111177元/㎡,1850万,166.4㎡,龙华 尚海湾豪庭
88470元/㎡,1230万,139.03㎡,龙华 天钥桥路968弄
185840元/㎡,2100万,113㎡,龙华 云锦路183弄
185752元/㎡,2099万,113㎡,龙华 云锦路183弄
123725元/㎡,1650万,133.36㎡,龙华 宾阳路18弄、宾南路19弄
136692元/㎡,1850万,135.34㎡,龙华 宾阳路18弄(沪闵路路口)
79876元/㎡,620万,77.62㎡,龙华 龙华西路315弄
185663元/㎡,2098万,113㎡,龙华 云锦路183弄
68389元/㎡,900万,131.6㎡,龙华 龙漕路66弄
70411元/㎡,860万,122.14㎡,龙华 漕溪路167弄1-2号
154083元/㎡,2600万,168.74㎡,龙华 云锦路183弄
85165元/㎡,860万,100.98㎡,龙华 石龙路818弄
78330元/㎡,608万,77.62㎡,龙华 龙华西路315弄
191066元/㎡,4500万,235.52㎡,龙华 瑞宁路908弄
61396元/㎡,320万,52.12㎡,龙华 漕溪四村50-78号
90091元/㎡,1333万,147.96㎡,龙华 田东路258弄、漕东支路218弄
90472元/㎡,1300万,143.69㎡,龙华 田东路258弄、漕东支路218弄
156963元/㎡,4500万,286.69㎡,龙华 徐汇东安路888号
152004元/㎡,3580万,235.52㎡,龙华 瑞宁路908弄
91979元/㎡,1250万,135.9㎡,龙华 田东路258弄、漕东支路218弄
154023元/㎡,2599万,168.74㎡,龙华 云锦路183弄
130236元/㎡,2450万,188.12㎡,龙华 云锦路183弄
56953元/㎡,930万,163.29㎡,龙华 石龙路818弄
87924元/㎡,900万,102.36㎡,龙华 龙华西路398弄1-3号
79138元/㎡,1000万,126.36㎡,龙华 龙华西路591弄
76877元/㎡,900万,117.07㎡,龙华 龙华西路591弄
90835元/㎡,1350万,148.62㎡,龙华 田东路258弄、漕东支路218弄
84253元/㎡,1000万,118.69㎡,龙华 南宁路501弄
150956元/㎡,2250万,149.05㎡,龙华 东安路800号
55573元/㎡,700万,125.96㎡,龙华 漕溪路251弄
85200元/㎡,768万,90.14㎡,龙华 南宁路501弄
99853元/㎡,1088万,108.96㎡,龙华 田东路258弄、漕东支路218弄
168689元/㎡,3280万,194.44㎡,龙华 云锦路183弄
85022元/㎡,1258万,147.96㎡,龙华 田东路258弄、漕东支路218弄
70681元/㎡,568万,80.36㎡,龙华 龙漕路160弄
79876元/㎡,620万,77.62㎡,龙华 龙华西路315弄
86276元/㎡,750万,86.93㎡,龙华 南宁路501弄
158064元/㎡,2450万,155㎡,龙华 宛平南路1188号
145855元/㎡,2599万,178.19㎡,龙华 宛平南路1188号
165772元/㎡,4760万,287.14㎡,龙华 徐汇东安路888号
134964元/㎡,3000万,222.28㎡,龙华 东安路888弄
89414元/㎡,968万,108.26㎡,龙华 龙吴路288弄
88258元/㎡,1350万,152.96㎡,龙华 田东路258弄、漕东支路218弄
80465元/㎡,1099万,136.58㎡,龙华 龙华西路398弄1-3号
123098元/㎡,2800万,227.46㎡,龙华 宛平南路1188号
143841元/㎡,2650万,184.23㎡,龙华 宛平南路1188号
83696元/㎡,999万,119.36㎡,龙华 龙华西路398弄1-3号
130790元/㎡,2380万,181.97㎡,龙华 宛平南路1188号
