price_m2,price,m2,location
108052元,1150万,106.43㎡,"海上名门
康健 柳州路181弄"
118078元,1320万,111.79㎡,"漕河景苑
康健 康健路58弄"
55356元,325万,58.71㎡,"薛家宅小区
康健 冠生园路230弄"
48883元,208万,42.55㎡,"花苑村紫竹园
康健 浦北路948弄"
54694元,314万,57.41㎡,"长海坊
康健 桂林西街9弄"
57015元,256万,44.9㎡,"长海坊
康健 桂林西街9弄"
54533元,430万,78.85㎡,"桂平小区
康健 桂平小区"
112823元,1098万,97.32㎡,"漕河景苑
康健 康健路58弄"
48690元,212万,43.54㎡,"花苑村紫竹园
康健 浦北路948弄"
62153元,325万,52.29㎡,"寿昌坊
康健 桂林西街151弄"
68190元,898万,131.69㎡,"圣骊家园
康健 沪闵路9116号、沪闵路9120号"
51890元,590万,113.7㎡,"沪华公寓
康健 冠生园路20号"
67134元,870万,129.59㎡,"中星海上华庭
康健 虹漕南路699弄"
77281元,398万,51.5㎡,"健安坊
康健 桂林东街150弄"
49150元,266万,54.12㎡,"长丰坊
康健 桂林西街47弄"
52939元,290万,54.78㎡,"长丰坊
康健 桂林西街47弄"
47490元,299万,62.96㎡,"寿益坊
康健 桂林西街85弄1-71号"
85275元,1050万,123.13㎡,"上海师大科技园
康健 桂林路70弄91-111号"
81745元,1150万,140.68㎡,"中星海上华庭
康健 虹漕南路699弄"
68936元,650万,94.29㎡,"紫荆园
康健 钦州南路768弄"
67072元,750万,111.82㎡,"紫荆园
康健 钦州南路768弄"
66617元,808万,121.29㎡,"海上名门
康健 柳州路181弄"
57326元,428万,74.66㎡,"长虹坊
康健 桂林西街11弄"
72851元,596万,81.81㎡,"钦州路111弄小区
康健 钦州路111弄1-26号"
75824元,499万,65.81㎡,"欣园新村
康健 桂平路257弄"
57787元,492万,85.14㎡,"紫薇园(徐汇)
康健 桂平路123弄"
47931元,278万,58㎡,"寿昌坊
康健 桂林西街151弄"
75256元,535万,71.09㎡,"师大新村
康健 师大新村"
90533元,1160万,128.13㎡,"康健星辰
康健 浦北路388弄"
76769元,1080万,140.68㎡,"中星海上华庭
康健 虹漕南路699弄"
48883元,208万,42.55㎡,"紫竹园
康健 浦北路948弄"
51447元,350万,68.03㎡,"长虹坊
康健 桂林西街11弄"
50299元,210万,41.75㎡,"西樱花园
康健 桂平支路35弄"
64718元,888万,137.21㎡,"中星海上华庭
康健 虹漕南路699弄"
50379元,279万,55.38㎡,"寿祥坊
康健 桂林西街111弄"
108915元,1152万,105.77㎡,"海上名邸
康健 桂林东街28弄"
43656元,170万,38.94㎡,"长丰坊
康健 桂林西街47弄"
59151元,350万,59.17㎡,"茶花园
康健 浦北路959弄31-82号"
44730元,480万,107.31㎡,"康健公寓
康健 桂林东街218弄"
137642元,1365万,99.17㎡,"徐汇天悦
康健 虹漕南路128弄"
79440元,1090万,137.21㎡,"中星海上华庭
康健 虹漕南路699弄"
62391元,360万,57.7㎡,"康乐小区(徐汇)
康健 康乐小区(徐汇)"
49603元,350万,70.56㎡,"长虹坊
康健 桂林西街11弄"
49966元,370万,74.05㎡,"寿益坊
康健 桂林西街85弄1-71号"
79955元,1300万,162.59㎡,"康兴花园
康健 桂林西街358弄"
44025元,189万,42.93㎡,"杜鹃园
康健 钦州南路917弄"
78344元,920万,117.43㎡,"中海馨园
康健 钦州南路8弄1-25号"
70990元,788万,111㎡,"紫荆园
康健 钦州南路768弄"
67708元,650万,96㎡,"紫荆园
康健 钦州南路768弄"
58601元,279万,47.61㎡,"杜鹃园
康健 钦州南路917弄"
89213元,1100万,123.3㎡,"上海师大科技园
康健 桂林路70弄91-111号"
77355元,1900万,245.62㎡,"上海师大科技园
康健 桂林路70弄91-111号"
48185元,340万,70.56㎡,"长虹坊
康健 桂林西街11弄"
52271元,260万,49.74㎡,"寿益坊
康健 桂林西街85弄1-71号"
55388元,350万,63.19㎡,"桂平小区
康健 桂平小区"
76311元,998万,130.78㎡,"上海师大科技园
康健 桂林路70弄91-111号"
78274元,1350万,172.47㎡,"海上名邸
康健 桂林东街28弄"
45636元,251万,55㎡,"长丰坊
康健 桂林西街47弄"
37896元,480万,126.66㎡,"金桂苑
康健 虹漕南路99弄"
37450元,218万,58.21㎡,"寿益坊
康健 桂林西街85弄1-71号"
46682元,299万,64.05㎡,"市委党校家属区
康健 虹漕南路300弄"
47861元,320万,66.86㎡,"长虹坊
康健 桂林西街11弄"
51612元,320万,62㎡,"寿益坊
康健 桂林西街85弄1-71号"
43021元,299万,69.5㎡,"寿山坊
康健 桂林西街201弄"
46762元,325万,69.5㎡,"长虹坊
康健 桂林西街11弄"
35444元,183万,51.63㎡,"寿山坊
康健 桂林西街201弄"
38709元,240万,62㎡,"寿山坊
康健 桂林西街201弄"
46618元,295万,63.28㎡,"市委党校家属区
康健 虹漕南路300弄"
44000元,198万,45㎡,"寿山坊
康健 桂林西街201弄"
37450元,218万,58.21㎡,"寿益坊
康健 桂林西街85弄1-71号"
38603元,220万,56.99㎡,"寿益坊
康健 桂林西街85弄1-71号"
37057元,410万,110.64㎡,"师大新村
康健 师大新村"
44132元,299万,67.75㎡,"市委党校家属区
康健 虹漕南路300弄"
46744元,318万,68.03㎡,"长虹坊
康健 桂林西街11弄"
45727元,350万,76.54㎡,"寿益坊
康健 桂林西街85弄1-71号"
44988元,360万,80.02㎡,"寿益坊
康健 桂林西街85弄1-71号"
41055元,350万,85.25㎡,"寿益坊
康健 桂林西街85弄1-71号"
51886元,275万,53㎡,"师大新村
康健 师大新村"
42307元,440万,104㎡,"师大新村
康健 师大新村"
43885元,295万,67.22㎡,"市委党校家属区
康健 虹漕南路300弄"
45535元,255万,56㎡,"师大新村
康健 师大新村"
44764元,298万,66.57㎡,"寿山坊
康健 桂林西街201弄"
42105元,320万,76㎡,"寿山坊
康健 桂林西街201弄"
46555元,419万,90㎡,"市委党校家属区
康健 虹漕南路300弄"
45068元,318万,70.56㎡,"长虹坊
康健 桂林西街11弄"
46757元,318万,68.01㎡,"市委党校家属区
康健 虹漕南路300弄"
36118元,399万,110.47㎡,"师大新村
康健 师大新村"
38675元,320万,82.74㎡,"寿益坊
康健 桂林西街85弄1-71号"
45411元,288万,63.42㎡,"寿山坊
康健 桂林西街201弄"
43354元,320万,73.81㎡,"长虹坊
康健 桂林西街11弄"
41562元,499万,120.06㎡,"寿益坊
康健 桂林西街85弄1-71号"
37324元,380万,101.81㎡,"师大新村
康健 师大新村"
42793元,299万,69.87㎡,"寿山坊
康健 桂林西街201弄"
45180元,375万,83㎡,"寿益坊
康健 桂林西街85弄1-71号"
43809元,299万,68.25㎡,"寿山坊
康健 桂林西街201弄"
45840元,359.8万,78.49㎡,"寿益坊
康健 桂林西街85弄1-71号"
45151元,298万,66㎡,"寿益坊
康健 桂林西街85弄1-71号"
51492元,345万,67㎡,"寿益坊
康健 桂林西街85弄1-71号"
44620元,355万,79.56㎡,"寿益坊
康健 桂林西街85弄1-71号"
