rent,m2,location
4600元/月,44㎡,徐汇-康健-钦州路111弄小区
3500元/月,34㎡,徐汇-康健-习勤小区
3300元/月,36㎡,徐汇-康健-习勤小区
3100元/月,37㎡,徐汇-康健-习勤小区
3800元/月,43㎡,徐汇-康健-花苑村丁香园
2777元/月,41㎡,徐汇-康健-古美小区
3200元/月,42㎡,徐汇-康健-桂康小区
4000元/月,42㎡,徐汇-康健-桂平小区
4800元/月,44㎡,徐汇-康健-冠生园路237弄小区
5800元/月,62㎡,徐汇-康健-紫薇园(徐汇)
4500元/月,49㎡,徐汇-康健-寿益坊
3600元/月,43㎡,徐汇-康健-长顺坊
3700元/月,43㎡,徐汇-康健-康强坊
4000元/月,46㎡,徐汇-康健-花苑村丁香园
4500元/月,65㎡,徐汇-康健-金桂苑
4000元/月,46㎡,徐汇-康健-长海坊
3600元/月,43㎡,徐汇-康健-寿祥坊
8800元/月,110㎡,徐汇-康健-迎春园
5500元/月,65㎡,徐汇-康健-康宁坊
5400元/月,60㎡,徐汇-康健-长丰坊
2500元/月,20㎡,徐汇-康健-寿山坊
9500元/月,114㎡,徐汇-康健-文馨苑
9000元/月,106㎡,徐汇-康健-中虹汇之苑
3900元/月,40㎡,徐汇-康健-康宁坊
11000元/月,102㎡,徐汇-康健-康惠苑
5000元/月,60㎡,徐汇-康健-长海坊
4000元/月,53㎡,徐汇-康健-长丰坊
14000元/月,158㎡,徐汇-康健-海上名门
5500元/月,77㎡,徐汇-康健-桂平小区
3800元/月,45㎡,徐汇-康健-长海坊
4200元/月,50㎡,徐汇-康健-寿德坊
9000元/月,107㎡,徐汇-康健-中星海上华庭
5300元/月,81㎡,徐汇-康健-寿益坊
15200元/月,171㎡,徐汇-康健-海上名门
12000元/月,99㎡,徐汇-康健-徐汇天悦
13000元/月,129㎡,徐汇-康健-徐汇天悦
3700元/月,46㎡,徐汇-康健-长海坊
5500元/月,66㎡,徐汇-康健-长虹坊
4600元/月,53㎡,徐汇-康健-长兴坊
4700元/月,52㎡,徐汇-康健-康乐小区(徐汇)
11000元/月,140㎡,徐汇-康健-康健星辰
15000元/月,160㎡,徐汇-康健-海上名门
4900元/月,72㎡,徐汇-康健-长虹坊
9900元/月,100㎡,徐汇-康健-康馨家园
12500元/月,127㎡,徐汇-康健-中星海上华庭
6500元/月,86㎡,徐汇-康健-寿祥坊
5000元/月,71㎡,徐汇-康健-师大新村
3600元/月,40㎡,徐汇-康健-康乐小区(徐汇)
3500元/月,34㎡,徐汇-康健-师大新村
12000元/月,115㎡,徐汇-康健-徐汇天悦
12650元/月,127㎡,徐汇-康健-汇樾庭
5000元/月,66㎡,徐汇-康健-茶花园
5200元/月,86㎡,徐汇-康健-师大新村
