price_m2,price,m2,location
88449元/㎡,1298万,146.75㎡,"海螺花园
徐家汇 宛平南路388弄"
94656元/㎡,1580万,166.92㎡,"四季园
徐家汇 东安路149弄1-8号"
115101元/㎡,1080万,93.83㎡,"东方曼哈顿
徐家汇 虹桥路168号"
101486元/㎡,478万,47.1㎡,"东安四村
徐家汇 宛平南路727弄"
91361元/㎡,496万,54.29㎡,"零陵小区
徐家汇 零陵小区"
84574元/㎡,1175万,138.93㎡,"徐家汇花园
徐家汇 宛平南路255弄"
81981元/㎡,384万,46.84㎡,"零陵小区
徐家汇 零陵小区"
88045元/㎡,478万,54.29㎡,"零陵小区
徐家汇 零陵小区"
100922元/㎡,1280万,126.83㎡,"徐家汇花园
徐家汇 宛平南路255弄"
68093元/㎡,299万,43.91㎡,"东航公寓
徐家汇 中山西路1509弄1-2号"
85977元/㎡,748万,87㎡,"徐家汇花园
徐家汇 宛平南路255弄"
87591元/㎡,900万,102.75㎡,"徐家汇花园
徐家汇 宛平南路255弄"
86782元/㎡,998万,115㎡,"徐家汇花园
徐家汇 宛平南路255弄"
143337元/㎡,1450万,101.16㎡,"莱诗邸
徐家汇 南丹东路223弄"
96267元/㎡,570万,59.21㎡,"徐家汇花园
徐家汇 宛平南路255弄"
78187元/㎡,1080万,138.13㎡,"嘉汇广场
徐家汇 斜土路2601-2611号"
104992元/㎡,1550万,147.63㎡,"虹桥乐庭
徐家汇 虹桥路666弄5-18号"
90041元/㎡,1368万,151.93㎡,"海螺花园
徐家汇 宛平南路388弄"
99481元/㎡,1650万,165.86㎡,"徐虹华庭
徐家汇 徐虹北路5弄"
77039元/㎡,920万,119.42㎡,"锦汇苑
徐家汇 文定路81弄"
111524元/㎡,1650万,147.95㎡,"徐虹华庭
徐家汇 徐虹北路5弄"
119917元/㎡,1330万,110.91㎡,"永新城
徐家汇 辛耕路81弄"
106242元/㎡,1113万,104.76㎡,"虹桥乐庭
徐家汇 虹桥路666弄5-18号"
102251元/㎡,2380万,232.76㎡,"虹桥乐庭
徐家汇 虹桥路666弄5-18号"
86891元/㎡,1050万,120.84㎡,"佳安公寓
徐家汇 宛平南路420弄"
75364元/㎡,900万,119.42㎡,"锦汇苑
徐家汇 文定路81弄"
93572元/㎡,1450万,154.96㎡,"天际花园
徐家汇 南丹东路99弄1-22号"
86477元/㎡,1430万,165.36㎡,"徐家汇花园
徐家汇 宛平南路255弄"
86443元/㎡,1193万,138.01㎡,"徐家汇花园
徐家汇 宛平南路255弄"
89787元/㎡,1550万,172.63㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
86477元/㎡,1430万,165.36㎡,"徐家汇花园
徐家汇 宛平南路255弄"
81956元/㎡,1280万,156.18㎡,"恒昌花园
徐家汇 宛平南路521号"
116719元/㎡,1480万,126.8㎡,"永新城
徐家汇 辛耕路81弄"
117002元/㎡,1750万,149.57㎡,"莱诗邸
徐家汇 南丹东路223弄"
91728元/㎡,1150万,125.37㎡,"宜德苑
徐家汇 古宜路99弄"
121141元/㎡,1880万,155.19㎡,"莱诗邸
徐家汇 南丹东路223弄"
102362元/㎡,1200万,117.23㎡,"亚都国际名园
徐家汇 南丹东路300弄"
80977元/㎡,1200万,148.19㎡,"泰德花苑
徐家汇 裕德路92弄18号"
71382元/㎡,878万,123㎡,"徐家汇花园
徐家汇 宛平南路255弄"
85740元/㎡,460万,53.65㎡,"番南小区
徐家汇 番南小区"
80916元/㎡,971万,120㎡,"海螺花园
徐家汇 宛平南路388弄"
102249元/㎡,1200万,117.36㎡,"徐虹华庭
徐家汇 徐虹北路5弄"
105253元/㎡,1200万,114.01㎡,"尊园
徐家汇 漕溪北路99弄"
108611元/㎡,1680万,154.68㎡,"尊园
徐家汇 漕溪北路99弄"
97821元/㎡,1100万,112.45㎡,"亚都国际名园
徐家汇 南丹东路300弄"
110468元/㎡,1700万,153.89㎡,"尊园
徐家汇 漕溪北路99弄"
87820元/㎡,486万,55.34㎡,"番南小区
徐家汇 番南小区"
103439元/㎡,1600万,154.68㎡,"尊园
徐家汇 漕溪北路99弄"
115197元/㎡,520万,45.14㎡,"东方时空公寓
徐家汇 番禺路1099弄"
55813元/㎡,720万,129㎡,"嘉汇广场
徐家汇 斜土路2601-2611号"
87698元/㎡,899万,102.51㎡,"徐家汇花园
徐家汇 宛平南路255弄"
93315元/㎡,1650万,176.82㎡,"天际花园
徐家汇 南丹东路99弄1-22号"
105644元/㎡,700万,66.26㎡,"汇贤雅居
徐家汇 南丹路368弄"
91899元/㎡,936万,101.85㎡,"莱诗邸
徐家汇 南丹东路223弄"
86436元/㎡,752万,87㎡,"徐家汇花园
徐家汇 宛平南路255弄"
79481元/㎡,736万,92.6㎡,"南天大楼
徐家汇 天钥桥路191弄1-4号"
