rent,m2,location
10800元/月,102㎡,徐汇-田林-徐汇世家花园
5800元/月,41㎡,徐汇-田林-田林七村
7500元/月,81㎡,徐汇-田林-金丽广场
4600元/月,44㎡,徐汇-康健-钦州路111弄小区
6600元/月,83㎡,徐汇-漕河泾-桂林苑
4500元/月,39㎡,徐汇-田林-田林六村
100000元/月,440㎡,徐汇-龙华-百汇园二期
8000元/月,71㎡,徐汇-田林-长春新苑
3500元/月,45㎡,徐汇-田林-田林十四村高层
5800元/月,69㎡,徐汇-田林-钦州公寓
3500元/月,34㎡,徐汇-康健-习勤小区
75000元/月,330㎡,徐汇-建国西路-永康路177-207号小
14500元/月,160㎡,徐汇-徐家汇-尊园
50000元/月,300㎡,徐汇-建国西路-嘉善路169弄新里
7600元/月,80㎡,徐汇-田林-长春苑
3100元/月,37㎡,徐汇-康健-习勤小区
3800元/月,39㎡,徐汇-上海南站-汇成苑五村
14000元/月,143㎡,徐汇-斜土路-嘉瑞花苑
4900元/月,47㎡,徐汇-田林-田林三村
3900元/月,32㎡,徐汇-龙华-漕溪一村
3500元/月,41㎡,徐汇-田林-田林十村
10500元/月,95㎡,徐汇-斜土路-环龙新苑
3600元/月,40㎡,徐汇-田林-田林六村
3800元/月,33㎡,徐汇-上海南站-汇成苑五村
3800元/月,41㎡,徐汇-田林-宜山路701弄小区
13500元/月,126㎡,徐汇-徐家汇-天际花园
3200元/月,51㎡,徐汇-漕河泾-欣嘉苑
90000元/月,300㎡,"徐汇-建国西路-太原路256,258号小"
4000元/月,44㎡,徐汇-植物园-园南二村
3900元/月,32㎡,徐汇-龙华-漕溪一村
3300元/月,36㎡,徐汇-康健-习勤小区
70000元/月,350㎡,徐汇-衡山路-五原路165弄
100000元/月,360㎡,徐汇-衡山路-高安路100弄小区
4000元/月,32㎡,徐汇-田林-田林六村
3500元/月,35㎡,徐汇-田林-田林十四村高层
160000元/月,377㎡,徐汇-衡山路-上方花园
200000元/月,650㎡,徐汇-建国西路-太原路洋房
3300元/月,44㎡,徐汇-田林-田林十二村
40000元/月,237㎡,徐汇-龙华-保利西岸
14000元/月,142㎡,徐汇-徐家汇-金轩公寓
10500元/月,107㎡,徐汇-龙华-腾王阁
3600元/月,34㎡,徐汇-田林-田林亲家
4800元/月,41㎡,徐汇-田林-田林新苑
3300元/月,37㎡,徐汇-漕河泾-欣嘉苑
100000元/月,370㎡,徐汇-衡山路-上方花园
42000元/月,201㎡,徐汇-龙华-云锦东方
3500元/月,43㎡,徐汇-田林-田林十四村高层
3200元/月,42㎡,徐汇-田林-田林路89弄
158000元/月,500㎡,"徐汇-建国西路-太原路124,148号小"
8500元/月,107㎡,徐汇-田林-金祥苑
6500元/月,85㎡,徐汇-漕河泾-华悦家园
3500元/月,34㎡,徐汇-田林-田林十四村高层
3600元/月,32㎡,徐汇-上海南站-光华园
3200元/月,57㎡,徐汇-田林-田林十四村高层
3300元/月,35㎡,徐汇-田林-田林十四村高层
8000元/月,108㎡,徐汇-田林-徐汇世家花园
3600元/月,35㎡,徐汇-田林-田林六村
3200元/月,42㎡,徐汇-田林-田林路89弄
7000元/月,73㎡,徐汇-田林-田林十四村高层
3500元/月,40㎡,徐汇-田林-田林十四村高层
3600元/月,34㎡,徐汇-田林-田林亲家
3600元/月,40㎡,徐汇-田林-田林六村
3500元/月,43㎡,徐汇-田林-田林十四村高层
160000元/月,377㎡,徐汇-衡山路-上方花园
10500元/月,107㎡,徐汇-龙华-腾王阁
3300元/月,37㎡,徐汇-漕河泾-欣嘉苑
10500元/月,95㎡,徐汇-斜土路-环龙新苑
40000元/月,237㎡,徐汇-龙华-保利西岸
3300元/月,44㎡,徐汇-田林-田林十二村
58000元/月,227㎡,徐汇-衡山路-乌南公馆
3200元/月,42㎡,徐汇-田林-田林路89弄
3300元/月,43㎡,徐汇-田林-田林十二村
11000元/月,90㎡,徐汇-斜土路-日晖新城
11000元/月,99㎡,徐汇-斜土路-瑞金尊邸
20000元/月,157㎡,徐汇-徐家汇-新贵都万体景苑
4000元/月,42㎡,徐汇-康健-桂平小区
10000元/月,99㎡,徐汇-斜土路-嘉瑞花苑
35800元/月,146㎡,徐汇-衡山路-东湖公寓
10000元/月,87㎡,徐汇-徐家汇-青松小区
12800元/月,135㎡,徐汇-斜土路-衡园
3200元/月,42㎡,徐汇-康健-桂康小区
45000元/月,165㎡,徐汇-衡山路-五原路87弄新里
8000元/月,77㎡,徐汇-田林-田林路89弄
25000元/月,235㎡,徐汇-徐家汇-汇宁花园
28000元/月,180㎡,徐汇-田林-尚汇豪庭
11500元/月,120㎡,徐汇-斜土路-金色港湾公寓
3300元/月,43㎡,徐汇-田林-田林十四村高层
12500元/月,62㎡,徐汇-建国西路-巴黎时韵商住楼
35000元/月,300㎡,"徐汇-衡山路-湖南路285,289号小"
3800元/月,42㎡,徐汇-田林-田林十四村高层
20000元/月,133㎡,徐汇-徐家汇-上海五月天
42000元/月,217㎡,徐汇-斜土路-衡园
33500元/月,201㎡,徐汇-建国西路-太原邸
11300元/月,116㎡,徐汇-斜土路-衡园
39000元/月,163㎡,徐汇-衡山路-汇贤居
20000元/月,126㎡,徐汇-龙华-尚海湾豪庭二期
3300元/月,36㎡,徐汇-田林-田林十四村高层
28000元/月,237㎡,徐汇-徐家汇-汇宁花园
12500元/月,145㎡,徐汇-斜土路-日晖新城
22000元/月,190㎡,徐汇-徐家汇-东方曼哈顿世纪豪庭
22000元/月,199㎡,徐汇-徐家汇-莱诗邸
19800元/月,137㎡,徐汇-徐家汇-阳光名苑
3800元/月,37㎡,徐汇-徐家汇-南丹小区
11800元/月,153㎡,徐汇-斜土路-兴南花园
3600元/月,46㎡,徐汇-漕河泾-欣嘉苑
40000元/月,163㎡,徐汇-衡山路-汇贤居
11500元/月,118㎡,徐汇-斜土路-衡园
3200元/月,58㎡,徐汇-田林-田林路89弄
7000元/月,89㎡,徐汇-漕河泾-桂林苑
22000元/月,256㎡,徐汇-徐家汇-汇金广场公寓
3400元/月,40㎡,徐汇-田林-田林亲家
22888元/月,125㎡,徐汇-徐家汇-虹桥乐庭铂晶馆
10500元/月,100㎡,徐汇-斜土路-衡园
20000元/月,145㎡,徐汇-徐家汇-港汇花园
2777元/月,41㎡,徐汇-康健-古美小区
17789元/月,117㎡,徐汇-建国西路-明园世纪城
17000元/月,136㎡,徐汇-龙华-百汇园
16000元/月,145㎡,徐汇-斜土路-汇峰鼎园
18500元/月,169㎡,徐汇-徐家汇-兆丰帝景苑首玺
4500元/月,49㎡,徐汇-康健-寿益坊
4000元/月,37㎡,徐汇-漕河泾-诚达创意园商住楼
21200元/月,129㎡,徐汇-衡山路-鸿艺豪苑
19000元/月,152㎡,徐汇-徐家汇-虹桥乐庭
15500元/月,145㎡,徐汇-衡山路-淮海中路1412弄小区
16000元/月,110㎡,徐汇-徐家汇-永新城
17500元/月,119㎡,徐汇-徐家汇-永新城
4000元/月,46㎡,徐汇-康健-长海坊
19800元/月,141㎡,徐汇-田林-尚汇豪庭
16500元/月,109㎡,徐汇-斜土路-远雄徐汇园
24000元/月,135㎡,徐汇-建国西路-嘉御庭
28000元/月,180㎡,徐汇-田林-尚汇豪庭
4800元/月,44㎡,徐汇-康健-冠生园路237弄小区
3300元/月,35㎡,徐汇-田林-田林十四村高层
18000元/月,143㎡,徐汇-徐家汇-东方曼哈顿世纪豪庭
4800元/月,35㎡,徐汇-斜土路-枫林新村
15000元/月,155㎡,徐汇-徐家汇-永新花苑
3700元/月,43㎡,徐汇-康健-康强坊
18000元/月,85㎡,徐汇-衡山路-武康路新里
15000元/月,108㎡,徐汇-斜土路-远雄徐汇园
16800元/月,151㎡,徐汇-徐家汇-虹桥乐庭
25000元/月,120㎡,徐汇-建国西路-汾阳路64弄新里
7500元/月,90㎡,徐汇-斜土路-平江大楼
16800元/月,133㎡,徐汇-徐家汇-福源汇居
7200元/月,58㎡,徐汇-斜土路-中山新村
19800元/月,140㎡,徐汇-斜土路-汇峰鼎园
15000元/月,110㎡,徐汇-徐家汇-永新城
6500元/月,45㎡,徐汇-斜土路-西木小区
4000元/月,40㎡,徐汇-田林-田林一村
15500元/月,145㎡,徐汇-衡山路-宛平公寓
16000元/月,93㎡,徐汇-衡山路-淮海中路1755号
19800元/月,167㎡,徐汇-徐家汇-佳安公寓
5400元/月,86㎡,徐汇-田林-田林路89弄
16000元/月,102㎡,徐汇-徐家汇-莱诗邸
3600元/月,43㎡,徐汇-康健-寿祥坊
3300元/月,47㎡,徐汇-田林-田林新苑
15000元/月,130㎡,徐汇-徐家汇-汇金广场公寓
18000元/月,167㎡,徐汇-徐家汇-徐家汇花园
14500元/月,80㎡,徐汇-斜土路-徐汇新湖云庭
4000元/月,34㎡,徐汇-田林-田林十三村
3300元/月,35㎡,徐汇-田林-田林路89弄
14800元/月,86㎡,徐汇-徐家汇-汇宁花园
7000元/月,61㎡,徐汇-斜土路-日晖新城
